theta_heading,P_center^x,P_center^y,v_angle,d_bow,v_bow,v_ybow,d_amidship,v_amidship,v_yamidship,d_stern,v_stern,v_ystern,d_boffset,v_xamidship
15,-200,99,0,118.4114284,0,0,84.51111261,0,0,65.09968423,0,0,-196.1177143,0
14.8,-197,98.6,-0.040378916,117.7584318,0.63315243,0.131836463,84.09764917,0.601290597,0.083476028,64.93921732,0.582778227,0.032397399,-193.1683137,0.595467996
14.6,-194,98.2,-0.039579821,117.1052019,0.620461035,0.129273626,83.68436244,0.589377134,0.081789072,64.77916057,0.571405976,0.031675087,-190.2189596,0.583674527
14.4,-191,97.8,-0.039975295,116.4517415,0.626497253,0.130611346,83.27125259,0.595252025,0.082570941,64.61951106,0.577278115,0.031910183,-187.2696518,0.589497254
14.2,-188,97.4,-0.039975535,115.7980539,0.626337508,0.130657558,82.85831976,0.595241745,0.082536055,64.46026581,0.57744475,0.031829569,-184.3203891,0.589491759
14,-185,97,-0.039975375,115.1441422,0.62617113,0.130701844,82.4455641,0.595225534,0.082500311,64.30142193,0.57760584,0.031749219,-181.3711716,0.589480394
13.8,-182,96.6,-0.039975375,114.4900093,0.626007044,0.13074603,82.0329858,0.595211884,0.082464862,64.14297648,0.577769624,0.031669581,-178.4219981,0.589471572
13.6,-179,96.2,-0.039975535,113.8356585,0.62584518,0.130790125,81.62058499,0.595200721,0.082429716,63.9849265,0.577936027,0.031590663,-175.4728683,0.589465216
13.4,-176,95.8,-0.039975455,113.1810928,0.62567929,0.130832813,81.20836182,0.595186104,0.082394043,63.82726906,0.57809928,0.03151214,-172.5237814,0.589455444
13.2,-173,95.4,-0.039975455,112.5263153,0.625514392,0.130875143,80.79631645,0.595172804,0.082358505,63.67000119,0.578264014,0.031434272,-169.5747369,0.589446981
13,-170,95,-0.039975295,111.8713291,0.625346727,0.13091633,80.38444903,0.595157242,0.08232261,63.51311995,0.578426746,0.03135687,-166.6257342,0.589436282
12.8,-167,94.6,-0.040624645,111.2161373,0.635336599,0.13308466,79.97275969,0.604811561,0.083623666,63.35662236,0.587990616,0.031788294,-163.6767725,0.599002594
12.6,-164,94.2,-0.039346223,110.5607431,0.615180043,0.128936436,79.56124857,0.585765943,0.080957041,63.20050546,0.569650136,0.030713052,-160.7278514,0.580144549
12.4,-161,93.8,-0.039975375,109.9051495,0.62485092,0.131037992,79.14991583,0.595119609,0.082215902,63.0447663,0.578924905,0.031128658,-157.7789701,0.589413178
12.2,-158,93.4,-0.039975295,109.2493597,0.624683474,0.131076958,78.73876158,0.595105723,0.082180063,62.88940185,0.579090032,0.031053699,-154.8301281,0.589404156
12,-155,93,-0.039975295,108.5933768,0.624517022,0.131115555,78.32778598,0.595093149,0.082144354,62.73440917,0.579256622,0.03097939,-151.8813246,0.589396438
11.8,-152,92.6,-0.040790271,107.9372039,0.637078927,0.133827353,77.91698918,0.607212587,0.083782565,62.57978529,0.591236202,0.031535751,-148.9325592,0.601404696
11.6,-149,92.2,-0.039975135,107.2808441,0.624180862,0.131190363,77.50637125,0.595065983,0.082072536,62.42552716,0.579588382,0.030832447,-145.9838312,0.589379014
11.4,-146,91.8,-0.039975295,106.6243005,0.624016151,0.131227613,77.09593238,0.595056151,0.082037076,62.27163185,0.579758186,0.030760054,-143.0351399,0.589374025
11.2,-143,91.4,-0.039975375,105.9675763,0.623849944,0.13126398,76.68567266,0.595045252,0.08200143,62.11809632,0.579927125,0.030688202,-140.0864847,0.589367982
11,-140,91,-0.040055437,105.3106747,0.624931337,0.131562418,76.27559225,0.596225001,0.082129749,61.9649176,0.581256996,0.030678203,-137.1378651,0.59054124
10.8,-137,90.6,-0.039895474,104.6535986,0.622268047,0.131071806,75.86569123,0.593832138,0.081765977,61.81209264,0.579103755,0.030485121,-134.1892803,0.588175937
10.6,-134,90.2,-0.039975135,103.9963513,0.623342384,0.131367747,75.45596977,0.595006158,0.081893356,61.65961847,0.580428738,0.030475878,-131.2407297,0.589343538
10.4,-131,89.8,-0.039974976,103.3389359,0.623171469,0.131400825,75.04642793,0.594992181,0.081857124,61.50749204,0.580595352,0.030406252,-128.2922128,0.589334461
10.2,-128,89.4,-0.039974896,102.6813555,0.623001563,0.131433534,74.63706587,0.594979516,0.081821028,61.35571035,0.58076341,0.030337286,-125.3437289,0.589326687
10,-125,89,-0.039975295,102.0236133,0.622838892,0.131467192,74.22788371,0.594974111,0.08178589,61.20427038,0.580938715,0.030269288,-122.3952773,0.589326107
